State_Name,State_ab,Zip_Code,Mean
Alabama,AL,35213,128504
Alabama,AL,35217,18813
Alabama,AL,35215,66500
Alabama,AL,35173,70449
Alabama,AL,35967,45113
Alabama,AL,35173,80117
Alabama,AL,35220,68096
Alabama,AL,35091,80998
Alabama,AL,35117,74951
Alabama,AL,35071,51319
Alabama,AL,35215,46171
Alabama,AL,35214,50662
Alabama,AL,35073,54763
Alabama,AL,35127,90511
Alabama,AL,35005,53383
Alabama,AL,36024,54558
Alabama,AL,35206,40281
Alabama,AL,35243,95153
Alabama,AL,35216,79077
Alabama,AL,35243,65070
Alabama,AL,35209,81011
Alabama,AL,35221,31871
Alabama,AL,35064,60913
Alabama,AL,35064,52520
Alabama,AL,35023,77131
Alabama,AL,35111,90324
Alabama,AL,36066,54523
Alabama,AL,35020,46829
Alabama,AL,35226,128915
Alabama,AL,35226,115904
Alabama,AL,35592,48082
Alabama,AL,35660,19898
Alabama,AL,35630,28404
Alabama,AL,35630,45871
Alabama,AL,35630,66925
Alabama,AL,35633,58520
Alabama,AL,35634,65375
Alabama,AL,35901,34479
Alabama,AL,35645,85950
Alabama,AL,35652,53050
Alabama,AL,35672,49453
Alabama,AL,35673,50558
Alabama,AL,35651,49474
Alabama,AL,36830,82357
Alabama,AL,36830,34498
Alabama,AL,36830,44489
Alabama,AL,36801,71907
Alabama,AL,36801,60292
Alabama,AL,35901,40819
Alabama,AL,36874,56743
Alabama,AL,36877,42186
Alabama,AL,35613,84102
Alabama,AL,35620,52624
Alabama,AL,35611,43849
Alabama,AL,35613,80593
Alabama,AL,35758,101327
Alabama,AL,36032,63560
Alabama,AL,36088,50328
Alabama,AL,36075,43995
Alabama,AL,35905,53767
Alabama,AL,35810,47407
Alabama,AL,35810,38058
Alabama,AL,35810,57474
Alabama,AL,35811,53441
Alabama,AL,35806,49178
Alabama,AL,35801,93252
Alabama,AL,35816,23273
Alabama,AL,35805,37494
Alabama,AL,35502,77007
Alabama,AL,35803,79876
Alabama,AL,35555,48781
Alabama,AL,35803,83331
Alabama,AL,35761,64802
Alabama,AL,35761,56419
Alabama,AL,35758,75746
Alabama,AL,35749,80729
Alabama,AL,35811,58474
Alabama,AL,35758,134609
Alabama,AL,35758,79792
Alabama,AL,35763,65716
Alabama,AL,36748,32346
Alabama,AL,35582,36970
Alabama,AL,36736,48416
Alabama,AL,36748,47449
Alabama,AL,35570,50049
Alabama,AL,35563,31017
Alabama,AL,35747,55987
Alabama,AL,35175,62677
Alabama,AL,35016,58478
Alabama,AL,35976,55796
Alabama,AL,35951,61634
Alabama,AL,35950,32765
Alabama,AL,35462,30928
Alabama,AL,35957,77080
Alabama,AL,36617,23700
Alabama,AL,36617,40489
Alabama,AL,36604,46053
Alabama,AL,36605,36931
Alabama,AL,36605,38383
Alabama,AL,36605,50132
Alabama,AL,36606,70996
Alabama,AL,36606,42432
Alabama,AL,36693,57689
Alabama,AL,36310,40518
Alabama,AL,36609,35468
Alabama,AL,36618,49698
Alabama,AL,36608,108483
Alabama,AL,36608,58556
Alabama,AL,36561,86000
Alabama,AL,36693,64660
Alabama,AL,36617,23955
Alabama,AL,36613,24218
Alabama,AL,36571,43803
Alabama,AL,36560,48595
Alabama,AL,36587,58182
Alabama,AL,36303,75861
Alabama,AL,36575,66912
Alabama,AL,36695,98744
Alabama,AL,36541,35313
Alabama,AL,36544,51099
Alabama,AL,36619,48721
Alabama,AL,36605,63538
Alabama,AL,36605,33457
Alabama,AL,36509,0
Alabama,AL,36461,65025
Alabama,AL,36480,33553
Alabama,AL,36303,41374
Alabama,AL,36107,32307
Alabama,AL,36109,52473
Alabama,AL,36108,14023
Alabama,AL,36106,51585
Alabama,AL,36109,47899
Alabama,AL,36111,43562
Alabama,AL,36105,33530
Alabama,AL,36108,24669
Alabama,AL,36109,102838
Alabama,AL,36108,48406
Alabama,AL,35766,45068
Alabama,AL,36116,49593
Alabama,AL,36110,69004
Alabama,AL,36109,38679
Alabama,AL,36117,135664
Alabama,AL,36117,96002
Alabama,AL,36064,99568
Alabama,AL,36116,87238
Alabama,AL,36117,86272
Alabama,AL,36043,48871
Alabama,AL,36108,55287
Alabama,AL,35217,31849
Alabama,AL,35601,65126
Alabama,AL,35601,44728
Alabama,AL,35603,50662
Alabama,AL,35601,45554
Alabama,AL,35640,78301
Alabama,AL,35670,45167
Alabama,AL,35621,48190
Alabama,AL,36756,47317
Alabama,AL,35466,52298
Alabama,AL,35447,26820
Alabama,AL,35206,31502
Alabama,AL,36081,55440
Alabama,AL,36081,38677
Alabama,AL,36278,44124
Alabama,AL,36274,56777
Alabama,AL,36867,26882
Alabama,AL,36870,47470
Alabama,AL,36868,30365
Alabama,AL,36868,33523
Alabama,AL,35004,63023
Alabama,AL,35128,65548
Alabama,AL,35204,24534
Alabama,AL,35953,55128
Alabama,AL,35120,63437
Alabama,AL,35242,60199
Alabama,AL,35242,133935
Alabama,AL,35242,114188
Alabama,AL,35124,61447
Alabama,AL,35007,47515
Alabama,AL,35242,124681
Alabama,AL,35114,64499
Alabama,AL,35115,67471
Alabama,AL,35208,27306
Alabama,AL,35007,81035
Alabama,AL,35007,114805
Alabama,AL,35186,67015
Alabama,AL,35477,30720
Alabama,AL,36203,74941
Alabama,AL,35160,45623
Alabama,AL,35160,30518
Alabama,AL,35044,20842
Alabama,AL,35150,56039
Alabama,AL,35150,42395
Alabama,AL,35204,20724
Alabama,AL,35010,40286
Alabama,AL,36853,57732
Alabama,AL,36853,74831
Alabama,AL,35406,126456
Alabama,AL,35475,77645
Alabama,AL,35446,51913
Alabama,AL,35406,125421
Alabama,AL,35444,54986
Alabama,AL,35453,58765
Alabama,AL,35453,48158
Alabama,AL,35235,53410
Alabama,AL,35405,31061
Alabama,AL,35401,28049
Alabama,AL,35404,68542
Alabama,AL,35405,29516
Alabama,AL,35404,44856
Alabama,AL,35503,69796
Alabama,AL,35504,48437
Alabama,AL,35578,32015
Alabama,AL,35579,49334
Alabama,AL,35550,51500
Alabama,AL,35020,35707
Alabama,AL,35584,45265
Alabama,AL,36548,45381
Alabama,AL,36726,28710
Alabama,AL,36768,31636
